,url,autor,fecha,titulo,subtitulo,resumen,tags
0,https://www.pagina12.com.ar/530294-niunpibemenosporladroga,Por Washington Uranga,2023-03-10,#NiUnPibeMenosPorLaDroga,10 años de Francisco,Convocatoria en Luján a dirigentes políticos y sociales para firmar un compromiso de trabajo conjunto en favor de las y los jóvenes afectados por el consumo problemático de adicciones. A la cita fueron invitados referentes de diferentes signos políticos. ,"['Iglesia católica', 'Curas villeros', 'Drogas', 'Iglesia católica', 'Curas villeros', 'Drogas']"
1,https://www.pagina12.com.ar/autores/1046-roxana-sanda,No se pudo obtener el autor,No se pudo obtener la fecha,Roxana Sandá,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
2,https://www.pagina12.com.ar/autores/864-juan-pablo-cinelli,No se pudo obtener el autor,No se pudo obtener la fecha,Juan Pablo Cinelli,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
3,https://www.pagina12.com.ar/secciones/deportes,No se pudo obtener el autor,No se pudo obtener la fecha,No se pudo obtener el título,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
4,https://www.pagina12.com.ar/406542-dia-de-la-mujer-por-que-se-conmemora-el-8-m,No se pudo obtener el autor,2023-03-07,Día Internacional de la Mujer: ¿por qué se conmemora el 8 de marzo?,Movilizaciones por el 8M en Argentina,Habrá movilizaciones en todo el país para recordar las luchas feministas. También está convocado un Paro Internacional de Mujeres.,"['8M', 'Día Internacional de la Mujer', 'Paro de mujeres', '8M', 'Día Internacional de la Mujer', 'Paro de mujeres']"
5,https://www.pagina12.com.ar/530336-el-senado-aprobo-la-promocion-y-desarrollo-de-biocombustible,No se pudo obtener el autor,2023-03-10,El Senado aprobó la promoción y desarrollo de biocombustibles ,Primera sesión ordinaria de 2023 ,"El Ejecutivo deberá incentivar el uso de esta energía en la provincia. Los organismos del sector público, y el servicio de transporte público de pasajeros en todo el territorio provincial, deberán elaborar un plan progresivo de migración de combustibles fósiles a biocombustibles.","['Senado de Salta', 'Biocombustibles', 'Senado de Salta', 'Biocombustibles']"
6,https://www.pagina12.com.ar/autores/217276-maira-lopez,No se pudo obtener el autor,No se pudo obtener la fecha,Maira López,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
7,https://www.pagina12.com.ar/529822-rosario-cesar-milani-critico-a-patricia-bullrich-y-lanzo-una,No se pudo obtener el autor,2023-03-08,Rosario: César Milani criticó a Patricia Bullrich y lanzó una advertencia por el envío del Ejército,"Destacó el anuncio del Gobierno, aunque puso reparos","El exjefe del Ejército durante el Gobierno de Cristina Kirchner resaltó las medidas anunciadas por el presidente Alberto Fernández, pero aclaró que el cuerpo de Ingenieros no cuenta con recursos suficientes.","['César Milani', 'César Milani']"
8,https://www.pagina12.com.ar/530382-papa-francisco-yo-quiero-ir-a-argentina,No se pudo obtener el autor,2023-03-10,"Papa Francisco: ""Yo quiero ir a Argentina""",Definiciones tras 10 años de papado ,"Jorge Bergoglio dijo en una entrevista que estuvo a punto de visitar el país en diciembre de 2017, pero el viaje finalmente debió ser suspendido. ""No hay una negación de ir. Yo estoy abierto a que se dé la oportunidad"", afirmó. También abrió la puerta a que se revise el celibato para los sacerdotes católicos.","['Papa Francisco', 'Papa Francisco']"
9,https://www.pagina12.com.ar/edicion-impresa,No se pudo obtener el autor,No se pudo obtener la fecha,Edición Impresa,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
10,https://www.pagina12.com.ar/524358-espana-devuelve-a-las-menores-de-16-y-17-anos-su-derecho-int,No se pudo obtener el autor,2023-02-16,España devuelve a las menores de 16 y 17 años su derecho interrumpir su embarazo sin tutelas,Sí del Congreso a la ley del aborto,"La ampliación de los derechos sexuales y reproductivos de las mujeres fue aprobada con 185 votos a favor, 154 en contra y ninguna abstención en un debate. Parte de la derecha que interrumpió en diversos momentos la intervención de la ministra de Igualdad, Irene Montero.","['Aborto', 'España', 'Aborto', 'España']"
11,https://www.pagina12.com.ar/528338-miedo-pizza-mito-champan-ovnis-de-los-90,Por Javier Aguirre,2023-03-03,Miedo pizza mito champán: ovnis de los '90,"Episodio #115 de Ahí nos vimos, el podcast de cosas para ver del NO",Un documental indie que levanta cómo la TV argentina noventera se abrazaba al fenómeno de los aliens y los platos voladores.,"['Ahí nos vimos', 'Documentales', 'OVNI', 'Ahí nos vimos', 'Documentales', 'OVNI']"
12,https://www.pagina12.com.ar/530475-karina-beorlegui-presenta-su-disco-encuentro-amalia-gardel-e,Por Andrés Valenzuela,2023-03-10,"Karina Beorlegui presenta su disco ""Encuentro Amália - Gardel"" en Rondeman",El sábado 11 a las 21,La cantante imaginó el cruce entre Rodrigues y el Zorzal Criollo como símbolo del que ella intenta entre tango y fado desde hace varios años.,"['Karina Beorlegui', 'Karina Beorlegui']"
13,https://www.pagina12.com.ar/530281-rosario-entera-tiene-que-exigir,Por Claudio Socolsky,2023-03-10,"""Rosario entera tiene que exigir""",El mensaje de Javkin al Concejo,El intendente abrió el período de sesiones con un discurso centrado en la crisis de seguridad y lo que se consiguió con el reclamo.,[]
14,https://www.pagina12.com.ar/530443-la-ultima-ola-de-calor-rompio-varios-records-cuales-son,No se pudo obtener el autor,2023-03-10,La última ola de calor rompió varios récords ¿cuáles son?,Calor extremo en Argentina ,Se registraron las temperaturas más elevadas de los últimos 62 años.,"['ola de calor', 'smn', 'ola de calor', 'smn']"
15,https://www.pagina12.com.ar/humor/rudy_paz/530324,No se pudo obtener el autor,No se pudo obtener la fecha,PAZ - RUDY,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
16,https://www.pagina12.com.ar/529513-lali-monumental,Por Pablo Mendez Shiff,2023-03-10,Lali monumental,Crónica de un show en Velez sin nada que envidiarle a la Marcha del Orgullo,"A un mes de haber cumplido 20 años de carrera, la artista de 31 años se dio el lujo de llenar su primer Vélez. Postales de una noche de brishitos, arneses y calor popular que no tiene nada que envidiarle a la Marcha del Orgullo.","['Lali Espósito', 'Lali Espósito']"
17,https://www.pagina12.com.ar/autores/399-andres-valenzuela,No se pudo obtener el autor,No se pudo obtener la fecha,Andrés Valenzuela,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
18,https://www.pagina12.com.ar/529877-violencia-en-rosario-con-la-policia-en-la-mira-exigen-una-re,No se pudo obtener el autor,2023-03-08,"Violencia en Rosario: con la policía en la mira, exigen una reforma de las fuerzas de seguridad",Apuntan a la connivencia por la avanzada narco,"""No hay manera de morigerar los niveles de violencia urbana que estamos viviendo sin esta intervención sobre la fuerza"", afirmó el diputado nacional del Frente de Todos y secretario general del PJ Santa Fe, Eduardo Toniolli.","['Rosario', 'Alberto Fernández', 'Narcotráfico', 'Santa Fe', 'Rosario', 'Alberto Fernández', 'Narcotráfico', 'Santa Fe']"
19,https://www.pagina12.com.ar/secciones/salta12,No se pudo obtener el autor,No se pudo obtener la fecha,Salta12,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
